Grade,Weapon_School,Fight_Total,Fight_School,Sad_Hopeless,Injected_Drug,Drug_School,Safety_Score,Risk_Level
1.0,1.0,1.0,1.0,0,1.0,1.0,25.0,Low
1.0,1.0,1.0,1.0,1,2.0,2.0,10.0,Low
1.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
1.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
1.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
1.0,1.0,3.0,2.0,0,1.0,2.0,6.0,Low
4.0,1.0,1.0,1.0,0,1.0,1.0,25.0,Low
4.0,1.0,3.0,1.0,1,1.0,2.0,3.0,Low
4.0,1.0,4.0,3.0,1,1.0,2.0,9.5,Low
4.0,1.0,7.0,4.0,0,1.0,2.0,16.5,Low
4.0,1.0,3.0,3.0,0,1.0,2.0,7.5,Low
4.0,1.0,2.0,2.0,1,1.0,2.0,5.0,Low
4.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
4.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
4.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
4.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
4.0,5.0,4.0,1.0,1,1.0,2.0,65.0,High
4.0,1.0,5.0,5.0,1,1.0,1.0,42.5,Medium
4.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
4.0,1.0,1.0,1.0,1,1.0,2.0,0.0,Low
4.0,1.0,3.0,2.0,0,1.0,2.0,6.0,Low
4.0,1.0,2.0,2.0,1,1.0,2.0,5.0,Low
4.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
4.0,1.0,2.0,1.0,0,1.0,2.0,2.0,Low
4.0,5.0,1.0,1.0,0,1.0,2.0,60.0,Medium
4.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
4.0,1.0,2.0,1.0,1,1.0,2.0,2.0,Low
4.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
4.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
2.0,1.0,2.0,2.0,1,1.0,2.0,5.0,Low
2.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
2.0,1.0,3.0,3.0,0,1.0,2.0,7.5,Low
3.0,4.0,4.0,1.0,1,1.0,1.0,87.0,High
3.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
3.0,1.0,3.0,1.0,0,1.0,2.0,3.0,Low
3.0,1.0,3.0,3.0,1,1.0,2.0,7.5,Low
3.0,1.0,2.0,2.0,0,1.0,2.0,5.0,Low
2.0,1.0,3.0,1.0,0,1.0,1.0,28.0,Low
2.0,1.0,2.0,2.0,0,1.0,2.0,5.0,Low
3.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
2.0,1.0,2.0,2.0,1,1.0,2.0,5.0,Low
2.0,1.0,3.0,2.0,0,1.0,1.0,31.0,Medium
2.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
2.0,1.0,3.0,3.0,0,1.0,1.0,32.5,Medium
2.0,1.0,3.0,1.0,0,1.0,2.0,3.0,Low
2.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
2.0,2.0,2.0,1.0,1,1.0,1.0,72.0,High
2.0,1.0,1.0,1.0,1,1.0,2.0,0.0,Low
2.0,3.0,8.0,7.0,1,1.0,2.0,74.5,High
1.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
1.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
1.0,1.0,2.0,1.0,0,1.0,2.0,2.0,Low
1.0,1.0,1.0,1.0,0,1.0,1.0,25.0,Low
1.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
1.0,1.0,2.0,1.0,0,1.0,2.0,2.0,Low
1.0,1.0,5.0,1.0,1,1.0,1.0,32.0,Medium
1.0,1.0,1.0,1.0,1,1.0,2.0,0.0,Low
1.0,1.0,2.0,1.0,0,1.0,2.0,2.0,Low
1.0,1.0,1.0,1.0,1,1.0,2.0,0.0,Low
1.0,1.0,2.0,2.0,1,1.0,2.0,5.0,Low
1.0,1.0,1.0,1.0,1,1.0,1.0,25.0,Low
1.0,1.0,3.0,1.0,0,1.0,1.0,28.0,Low
1.0,1.0,3.0,2.0,0,1.0,2.0,6.0,Low
1.0,1.0,2.0,1.0,0,1.0,2.0,2.0,Low
1.0,1.0,2.0,2.0,0,1.0,2.0,5.0,Low
1.0,1.0,2.0,1.0,1,1.0,1.0,27.0,Low
1.0,2.0,3.0,3.0,1,1.0,2.0,52.5,Medium
1.0,1.0,1.0,1.0,1,1.0,2.0,0.0,Low
1.0,1.0,2.0,2.0,0,1.0,2.0,5.0,Low
3.0,1.0,3.0,1.0,1,1.0,2.0,3.0,Low
2.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
4.0,1.0,7.0,3.0,0,1.0,1.0,38.5,Medium
4.0,1.0,2.0,1.0,1,1.0,2.0,2.0,Low
4.0,1.0,4.0,1.0,1,1.0,1.0,30.0,Low
4.0,1.0,1.0,1.0,0,1.0,1.0,25.0,Low
1.0,5.0,4.0,3.0,1,1.0,1.0,94.5,High
4.0,1.0,3.0,1.0,1,1.0,2.0,3.0,Low
4.0,1.0,5.0,5.0,0,1.0,2.0,17.5,Low
4.0,1.0,5.0,2.0,0,1.0,2.0,10.0,Low
4.0,1.0,2.0,2.0,0,1.0,2.0,5.0,Low
4.0,1.0,3.0,1.0,0,1.0,2.0,3.0,Low
4.0,1.0,2.0,1.0,0,1.0,2.0,2.0,Low
2.0,1.0,3.0,2.0,0,1.0,1.0,31.0,Medium
3.0,1.0,1.0,1.0,0,1.0,1.0,25.0,Low
3.0,1.0,5.0,1.0,0,1.0,1.0,32.0,Medium
3.0,1.0,1.0,1.0,1,1.0,1.0,25.0,Low
3.0,1.0,2.0,1.0,1,1.0,2.0,2.0,Low
3.0,1.0,4.0,3.0,0,1.0,1.0,34.5,Medium
3.0,1.0,2.0,2.0,0,1.0,2.0,5.0,Low
3.0,1.0,8.0,1.0,0,1.0,1.0,35.0,Medium
3.0,1.0,3.0,2.0,0,1.0,2.0,6.0,Low
3.0,1.0,2.0,1.0,0,1.0,2.0,2.0,Low
4.0,1.0,2.0,1.0,1,1.0,2.0,2.0,Low
4.0,1.0,2.0,2.0,0,1.0,2.0,5.0,Low
4.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
4.0,1.0,3.0,3.0,0,1.0,1.0,32.5,Medium
4.0,1.0,3.0,1.0,1,1.0,2.0,3.0,Low
4.0,1.0,4.0,2.0,1,1.0,2.0,8.0,Low
4.0,5.0,8.0,8.0,0,3.0,1.0,130.0,High
4.0,5.0,4.0,4.0,1,1.0,2.0,72.5,High
2.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
3.0,1.0,2.0,2.0,0,1.0,1.0,30.0,Low
2.0,1.0,2.0,2.0,1,1.0,2.0,5.0,Low
2.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
2.0,2.0,4.0,4.0,0,1.0,2.0,57.5,Medium
2.0,1.0,1.0,1.0,0,1.0,1.0,25.0,Low
2.0,1.0,1.0,1.0,1,1.0,1.0,25.0,Low
2.0,1.0,1.0,1.0,1,1.0,2.0,0.0,Low
2.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
2.0,1.0,4.0,1.0,1,1.0,1.0,30.0,Low
2.0,1.0,3.0,2.0,1,1.0,2.0,6.0,Low
2.0,1.0,1.0,1.0,1,1.0,2.0,0.0,Low
2.0,1.0,8.0,8.0,0,1.0,1.0,50.0,Medium
2.0,5.0,2.0,2.0,0,1.0,2.0,65.0,High
3.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
3.0,1.0,2.0,1.0,0,1.0,2.0,2.0,Low
3.0,1.0,2.0,1.0,0,1.0,2.0,2.0,Low
3.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
3.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
3.0,1.0,3.0,2.0,1,1.0,2.0,6.0,Low
3.0,1.0,4.0,1.0,0,1.0,2.0,5.0,Low
3.0,1.0,2.0,2.0,1,1.0,1.0,30.0,Low
3.0,1.0,3.0,2.0,0,1.0,1.0,31.0,Medium
3.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
3.0,1.0,3.0,1.0,1,1.0,2.0,3.0,Low
3.0,3.0,4.0,3.0,1,1.0,1.0,85.5,High
3.0,1.0,2.0,2.0,0,1.0,1.0,30.0,Low
3.0,1.0,3.0,1.0,1,1.0,2.0,3.0,Low
3.0,1.0,2.0,2.0,0,1.0,2.0,5.0,Low
3.0,1.0,2.0,2.0,1,1.0,2.0,5.0,Low
2.0,1.0,3.0,1.0,1,1.0,1.0,28.0,Low
2.0,1.0,3.0,2.0,1,1.0,2.0,6.0,Low
3.0,1.0,3.0,1.0,0,1.0,2.0,3.0,Low
3.0,1.0,8.0,4.0,0,1.0,1.0,42.5,Medium
3.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
3.0,1.0,2.0,2.0,0,1.0,2.0,5.0,Low
1.0,1.0,4.0,3.0,0,1.0,2.0,9.5,Low
1.0,1.0,4.0,1.0,0,1.0,2.0,5.0,Low
1.0,1.0,4.0,1.0,1,1.0,2.0,5.0,Low
1.0,1.0,3.0,3.0,0,1.0,1.0,32.5,Medium
1.0,1.0,4.0,1.0,0,1.0,2.0,5.0,Low
1.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
2.0,1.0,2.0,2.0,0,1.0,2.0,5.0,Low
2.0,1.0,3.0,1.0,1,1.0,2.0,3.0,Low
2.0,5.0,8.0,1.0,0,2.0,2.0,80.0,High
2.0,1.0,1.0,1.0,1,1.0,1.0,25.0,Low
2.0,1.0,3.0,3.0,1,1.0,1.0,32.5,Medium
2.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
2.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
2.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
1.0,1.0,2.0,1.0,0,1.0,2.0,2.0,Low
1.0,5.0,5.0,1.0,1,1.0,2.0,67.0,High
1.0,1.0,2.0,2.0,1,1.0,2.0,5.0,Low
1.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
1.0,1.0,2.0,1.0,1,1.0,2.0,2.0,Low
1.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
1.0,1.0,3.0,1.0,0,1.0,1.0,28.0,Low
1.0,1.0,3.0,3.0,0,1.0,1.0,32.5,Medium
1.0,1.0,3.0,1.0,0,1.0,1.0,28.0,Low
1.0,1.0,3.0,2.0,0,1.0,2.0,6.0,Low
1.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
1.0,1.0,1.0,1.0,0,1.0,1.0,25.0,Low
1.0,2.0,4.0,1.0,1,1.0,1.0,75.0,High
2.0,5.0,8.0,1.0,1,1.0,1.0,95.0,High
3.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
3.0,1.0,1.0,1.0,1,1.0,2.0,0.0,Low
4.0,1.0,1.0,1.0,1,1.0,1.0,25.0,Low
3.0,1.0,1.0,1.0,1,1.0,2.0,0.0,Low
4.0,1.0,4.0,1.0,0,3.0,2.0,25.0,Low
3.0,1.0,3.0,1.0,0,1.0,1.0,28.0,Low
2.0,1.0,3.0,3.0,1,1.0,2.0,7.5,Low
1.0,1.0,4.0,2.0,0,1.0,2.0,8.0,Low
1.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
1.0,5.0,4.0,2.0,1,1.0,2.0,68.0,High
4.0,1.0,1.0,1.0,1,1.0,1.0,25.0,Low
4.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
3.0,1.0,1.0,1.0,1,1.0,1.0,25.0,Low
4.0,1.0,1.0,1.0,1,1.0,2.0,0.0,Low
4.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
4.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
4.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
4.0,1.0,4.0,1.0,1,1.0,2.0,5.0,Low
4.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
4.0,1.0,5.0,1.0,1,1.0,2.0,7.0,Low
4.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
4.0,1.0,1.0,1.0,1,1.0,1.0,25.0,Low
4.0,1.0,1.0,1.0,0,1.0,1.0,25.0,Low
4.0,1.0,1.0,1.0,1,1.0,2.0,0.0,Low
4.0,4.0,2.0,1.0,0,1.0,2.0,59.0,Medium
3.0,1.0,1.0,1.0,1,1.0,2.0,0.0,Low
3.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
3.0,5.0,2.0,1.0,1,1.0,2.0,62.0,High
3.0,1.0,3.0,2.0,1,1.0,2.0,6.0,Low
3.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
3.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
3.0,1.0,3.0,2.0,0,1.0,2.0,6.0,Low
3.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
3.0,1.0,2.0,2.0,0,1.0,2.0,5.0,Low
3.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
1.0,1.0,3.0,1.0,1,1.0,2.0,3.0,Low
1.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
1.0,2.0,8.0,8.0,1,1.0,1.0,95.0,High
1.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
1.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
1.0,1.0,1.0,1.0,0,1.0,1.0,25.0,Low
1.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
1.0,1.0,3.0,1.0,1,1.0,1.0,28.0,Low
1.0,1.0,2.0,1.0,0,1.0,2.0,2.0,Low
1.0,1.0,1.0,1.0,0,1.0,1.0,25.0,Low
1.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
1.0,1.0,2.0,1.0,0,1.0,2.0,2.0,Low
1.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
1.0,1.0,3.0,1.0,0,1.0,1.0,28.0,Low
2.0,1.0,3.0,1.0,0,1.0,2.0,3.0,Low
2.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
2.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
2.0,1.0,2.0,1.0,0,1.0,2.0,2.0,Low
2.0,1.0,1.0,1.0,1,1.0,2.0,0.0,Low
2.0,1.0,6.0,1.0,0,1.0,2.0,8.0,Low
2.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
2.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
2.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
2.0,3.0,3.0,1.0,1,1.0,1.0,79.0,High
1.0,1.0,2.0,2.0,0,1.0,1.0,30.0,Low
1.0,1.0,2.0,1.0,1,1.0,1.0,27.0,Low
1.0,1.0,1.0,1.0,1,2.0,1.0,35.0,Medium
1.0,2.0,2.0,1.0,1,1.0,1.0,72.0,High
1.0,1.0,2.0,2.0,0,1.0,2.0,5.0,Low
2.0,1.0,2.0,1.0,1,2.0,2.0,12.0,Low
1.0,1.0,1.0,1.0,1,1.0,1.0,25.0,Low
1.0,1.0,1.0,1.0,1,1.0,1.0,25.0,Low
1.0,1.0,1.0,1.0,1,2.0,1.0,35.0,Medium
1.0,1.0,1.0,1.0,1,1.0,2.0,0.0,Low
1.0,1.0,2.0,2.0,1,1.0,1.0,30.0,Low
1.0,1.0,2.0,1.0,1,2.0,1.0,37.0,Medium
4.0,1.0,2.0,2.0,1,2.0,2.0,15.0,Low
4.0,1.0,2.0,2.0,1,2.0,1.0,40.0,Medium
4.0,1.0,2.0,1.0,1,2.0,1.0,37.0,Medium
4.0,1.0,2.0,2.0,1,1.0,1.0,30.0,Low
4.0,1.0,2.0,2.0,1,2.0,1.0,40.0,Medium
4.0,1.0,2.0,2.0,1,2.0,2.0,15.0,Low
4.0,1.0,2.0,1.0,0,1.0,2.0,2.0,Low
4.0,1.0,2.0,2.0,1,2.0,2.0,15.0,Low
4.0,1.0,2.0,1.0,1,2.0,1.0,37.0,Medium
4.0,1.0,2.0,1.0,1,2.0,1.0,37.0,Medium
4.0,1.0,1.0,1.0,1,2.0,1.0,35.0,Medium
4.0,1.0,2.0,2.0,1,2.0,1.0,40.0,Medium
4.0,4.0,2.0,1.0,0,2.0,1.0,94.0,High
4.0,1.0,2.0,1.0,1,2.0,2.0,12.0,Low
2.0,1.0,2.0,2.0,1,1.0,1.0,30.0,Low
2.0,1.0,6.0,1.0,1,2.0,1.0,43.0,Medium
4.0,1.0,1.0,1.0,0,1.0,1.0,25.0,Low
2.0,1.0,2.0,2.0,1,1.0,1.0,30.0,Low
4.0,1.0,2.0,2.0,1,2.0,1.0,40.0,Medium
3.0,1.0,2.0,2.0,1,2.0,2.0,15.0,Low
3.0,1.0,2.0,2.0,1,2.0,2.0,15.0,Low
3.0,1.0,2.0,2.0,1,2.0,1.0,40.0,Medium
3.0,1.0,2.0,2.0,1,1.0,2.0,5.0,Low
3.0,1.0,2.0,1.0,0,2.0,2.0,12.0,Low
3.0,1.0,2.0,1.0,1,2.0,2.0,12.0,Low
3.0,1.0,2.0,2.0,1,2.0,2.0,15.0,Low
3.0,1.0,2.0,2.0,1,2.0,2.0,15.0,Low
3.0,1.0,2.0,1.0,1,1.0,1.0,27.0,Low
1.0,1.0,3.0,2.0,0,1.0,1.0,31.0,Medium
1.0,1.0,4.0,4.0,0,1.0,2.0,12.5,Low
1.0,1.0,3.0,1.0,0,1.0,2.0,3.0,Low
1.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
1.0,1.0,3.0,3.0,0,1.0,1.0,32.5,Medium
1.0,5.0,3.0,3.0,0,1.0,2.0,67.5,High
1.0,1.0,2.0,2.0,1,1.0,2.0,5.0,Low
1.0,1.0,3.0,3.0,0,1.0,2.0,7.5,Low
1.0,1.0,1.0,1.0,1,1.0,2.0,0.0,Low
1.0,2.0,3.0,3.0,1,1.0,2.0,52.5,Medium
1.0,1.0,1.0,1.0,1,1.0,2.0,0.0,Low
1.0,1.0,2.0,1.0,0,1.0,1.0,27.0,Low
1.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
1.0,1.0,1.0,1.0,0,1.0,1.0,25.0,Low
1.0,5.0,8.0,8.0,0,2.0,1.0,120.0,High
1.0,1.0,1.0,1.0,1,1.0,1.0,25.0,Low
1.0,1.0,1.0,1.0,1,1.0,2.0,0.0,Low
1.0,1.0,1.0,1.0,1,1.0,2.0,0.0,Low
1.0,1.0,1.0,1.0,1,1.0,2.0,0.0,Low
1.0,1.0,2.0,1.0,0,1.0,2.0,2.0,Low
1.0,1.0,3.0,2.0,0,1.0,1.0,31.0,Medium
1.0,5.0,3.0,1.0,0,1.0,2.0,63.0,High
1.0,1.0,6.0,1.0,0,1.0,1.0,33.0,Medium
1.0,1.0,1.0,1.0,0,1.0,1.0,25.0,Low
1.0,1.0,2.0,2.0,0,1.0,1.0,30.0,Low
2.0,1.0,2.0,1.0,0,1.0,1.0,27.0,Low
2.0,1.0,2.0,1.0,0,1.0,2.0,2.0,Low
2.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
2.0,1.0,2.0,1.0,0,1.0,2.0,2.0,Low
2.0,1.0,8.0,8.0,1,1.0,2.0,25.0,Low
2.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
2.0,1.0,2.0,1.0,0,1.0,1.0,27.0,Low
2.0,1.0,8.0,1.0,0,1.0,2.0,10.0,Low
2.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
2.0,1.0,4.0,1.0,1,1.0,1.0,30.0,Low
3.0,1.0,6.0,3.0,1,1.0,1.0,37.5,Medium
2.0,1.0,8.0,8.0,1,1.0,2.0,25.0,Low
2.0,1.0,3.0,1.0,0,1.0,1.0,28.0,Low
2.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
2.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
2.0,1.0,2.0,2.0,0,1.0,2.0,5.0,Low
2.0,1.0,1.0,1.0,0,1.0,1.0,25.0,Low
2.0,1.0,1.0,1.0,0,1.0,1.0,25.0,Low
2.0,5.0,8.0,6.0,0,3.0,1.0,127.0,High
2.0,1.0,4.0,1.0,0,1.0,1.0,30.0,Low
3.0,1.0,1.0,1.0,1,1.0,2.0,0.0,Low
3.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
3.0,1.0,2.0,1.0,1,1.0,2.0,2.0,Low
3.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
3.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
3.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
4.0,2.0,3.0,1.0,1,1.0,1.0,73.0,High
3.0,5.0,2.0,1.0,0,1.0,1.0,87.0,High
3.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
3.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
3.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
3.0,1.0,1.0,1.0,1,1.0,2.0,0.0,Low
3.0,1.0,2.0,1.0,0,1.0,2.0,2.0,Low
3.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
4.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
3.0,1.0,2.0,1.0,0,1.0,2.0,2.0,Low
3.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
4.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
3.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
2.0,1.0,1.0,1.0,1,1.0,2.0,0.0,Low
4.0,1.0,2.0,1.0,0,1.0,2.0,2.0,Low
3.0,1.0,3.0,1.0,0,1.0,2.0,3.0,Low
4.0,1.0,1.0,1.0,0,1.0,1.0,25.0,Low
3.0,2.0,3.0,1.0,0,1.0,1.0,73.0,High
4.0,4.0,3.0,2.0,0,1.0,1.0,88.0,High
4.0,5.0,1.0,1.0,1,1.0,1.0,85.0,High
3.0,1.0,2.0,2.0,0,1.0,2.0,5.0,Low
4.0,1.0,1.0,1.0,1,1.0,1.0,25.0,Low
4.0,1.0,1.0,1.0,0,1.0,2.0,0.0,Low
4.0,1.0,2.0,1.0,1,1.0,1.0,27.0,Low
3.0,1.0,4.0,3.0,0,1.0,2.0,9.5,Low
4.0,1.0,3.0,1.0,1,1.0,2.0,3.0,Low
4.0,1.0,1.0,1.0,1,1.0,2.0,0.0,Low
3.0,1.0,1.0,1.0,0,1.0,1.0,25.0,Low
4.0,1.0,5.0,1.0,1,1.0,2.0,7.0,Low
